sample_name,library,organism,read1,read2,read_length,read_type
BRCA-1253F1AD-60FD-4536-97A8-E84B756E5E52-X004-S05-L051-B1-T1-P007,ATAC,human,read1,read2,75,paired
BRCA-14AD76EE-12F9-40B3-8DCD-4A256E02CF8D-X020-S12-L022-B1-T1-P053,ATAC,human,read1,read2,75,paired
BRCA-14AD76EE-12F9-40B3-8DCD-4A256E02CF8D-X020-S12-L023-B1-T2-P054,ATAC,human,read1,read2,75,paired
BRCA-1B6783CB-7D24-4D13-908A-19CCAD4CFF34-X002-S06-L011-B1-T1-P001,ATAC,human,read1,read2,75,paired
BRCA-1B6783CB-7D24-4D13-908A-19CCAD4CFF34-X002-S06-L012-B1-T2-P001,ATAC,human,read1,read2,75,paired
BRCA-1BD15E25-9CE5-49AB-ADCF-41F857F3468D-X021-S04-L030-B1-T1-P054,ATAC,human,read1,read2,75,paired
BRCA-1BD15E25-9CE5-49AB-ADCF-41F857F3468D-X021-S04-L031-B1-T2-P053,ATAC,human,read1,read2,75,paired
BRCA-1D939DC3-EF0C-40BF-BC60-8C5D46345265-X021-S01-L024-B1-T1-P051,ATAC,human,read1,read2,75,paired
BRCA-1D939DC3-EF0C-40BF-BC60-8C5D46345265-X021-S01-L025-B1-T2-P052,ATAC,human,read1,read2,75,paired
BRCA-1FF8A889-24D2-4439-8BB4-C9AB39B7EE23-X005-S12-L028-B1-T1-P011,ATAC,human,read1,read2,75,paired
BRCA-2106DD3A-1909-46E8-82BD-865333A12F8E-X013-S09-L065-B1-T1-P029,ATAC,human,read1,read2,75,paired
BRCA-257C1DDD-D646-4F59-BCEE-1403A58BBD80-X023-S06-L083-B1-T1-P056,ATAC,human,read1,read2,75,paired
BRCA-294C77E4-79D8-4383-8780-324F3DBB1839-X016-S02-L050-B1-T2-P035,ATAC,human,read1,read2,75,paired
BRCA-2A65DC63-F8CC-4EF4-AB23-3F5FD880FB5E-X018-S08-L038-B1-T1-P044,ATAC,human,read1,read2,75,paired
BRCA-2A65DC63-F8CC-4EF4-AB23-3F5FD880FB5E-X018-S08-L039-B1-T2-P043,ATAC,human,read1,read2,75,paired
BRCA-2C46607F-72A2-4B40-A311-E1F29C59DCFA-X010-S01-L049-B1-T1-P016,ATAC,human,read1,read2,75,paired
BRCA-2C46607F-72A2-4B40-A311-E1F29C59DCFA-X010-S01-L050-B1-T2-P019,ATAC,human,read1,read2,75,paired
BRCA-2D277FFC-F83F-4882-98D7-525388B79C3B-X023-S01-L073-B1-T1-P057,ATAC,human,read1,read2,75,paired
BRCA-2D277FFC-F83F-4882-98D7-525388B79C3B-X023-S01-L074-B1-T2-P056,ATAC,human,read1,read2,75,paired
BRCA-3403FB04-ED81-489B-991C-715B423B87DB-X014-S02-L003-B1-T1-P030,ATAC,human,read1,read2,75,paired
BRCA-3403FB04-ED81-489B-991C-715B423B87DB-X014-S02-L004-B1-T2-P037,ATAC,human,read1,read2,75,paired
BRCA-359C8EB0-48BC-47D5-AD78-38B0AE6C5FB8-X018-S05-L032-B1-T1-P042,ATAC,human,read1,read2,75,paired
BRCA-359C8EB0-48BC-47D5-AD78-38B0AE6C5FB8-X018-S05-L033-B1-T2-P043,ATAC,human,read1,read2,75,paired
BRCA-36EA9779-3126-45DE-8C5D-3E6B3680086C-X012-S06-L035-B1-T1-P022,ATAC,human,read1,read2,75,paired
BRCA-36EA9779-3126-45DE-8C5D-3E6B3680086C-X012-S06-L036-B1-T2-P025,ATAC,human,read1,read2,75,paired
BRCA-3899957C-47D6-4274-AB3C-C9E6DE56437F-X008-S09-L017-B1-T1-P029,ATAC,human,read1,read2,75,paired
BRCA-3899957C-47D6-4274-AB3C-C9E6DE56437F-X008-S09-L018-B1-T2-P021,ATAC,human,read1,read2,75,paired
BRCA-474D1E91-69F9-4779-B8CE-18F4946A0D9A-X021-S03-L028-B1-T1-P054,ATAC,human,read1,read2,75,paired
BRCA-474D1E91-69F9-4779-B8CE-18F4946A0D9A-X021-S03-L029-B1-T2-P054,ATAC,human,read1,read2,75,paired
BRCA-4DE199D4-0892-462C-BE6E-09413F7EF76E-X018-S03-L029-B1-T1-P045,ATAC,human,read1,read2,75,paired
BRCA-4F06A0BF-EB31-45EE-BB09-5601502D86FE-X021-S07-L036-B1-T1-P052,ATAC,human,read1,read2,75,paired
BRCA-4F06A0BF-EB31-45EE-BB09-5601502D86FE-X021-S07-L037-B1-T2-P051,ATAC,human,read1,read2,75,paired
BRCA-503860D0-4069-4F6F-91F2-FFB24C3EA1E5-X005-S08-L018-B1-T1-P014,ATAC,human,read1,read2,75,paired
BRCA-503860D0-4069-4F6F-91F2-FFB24C3EA1E5-X005-S08-L019-B1-T2-P015,ATAC,human,read1,read2,75,paired
BRCA-5C54B79C-DA02-4B22-9FC2-3D61BFFC5559-X019-S11-L068-B1-T1-P046,ATAC,human,read1,read2,75,paired
BRCA-5C54B79C-DA02-4B22-9FC2-3D61BFFC5559-X019-S11-L069-B1-T2-P046,ATAC,human,read1,read2,75,paired
BRCA-5C60C974-536D-4BD9-ADC5-606CA5E60C04-X020-S10-L019-B1-T1-P047,ATAC,human,read1,read2,75,paired
BRCA-6108FBB3-DFCE-4A67-A16D-0547827F058C-X008-S04-L007-B1-T1-P018,ATAC,human,read1,read2,75,paired
BRCA-6108FBB3-DFCE-4A67-A16D-0547827F058C-X008-S04-L008-B1-T2-P020,ATAC,human,read1,read2,75,paired
BRCA-64BD3CE0-7385-461B-9870-AD6611DD886A-X014-S01-L002-B1-T2-P037,ATAC,human,read1,read2,75,paired
BRCA-6D0DAA1B-2ACC-49CC-90C5-07FC4260432E-X011-S05-L009-B1-T1-P026,ATAC,human,read1,read2,75,paired
BRCA-6D0DAA1B-2ACC-49CC-90C5-07FC4260432E-X011-S05-L010-B1-T2-P025,ATAC,human,read1,read2,75,paired
BRCA-6F22B7DA-85CA-4E9C-93A3-859878775DDB-X005-S06-L015-B1-T4-P014,ATAC,human,read1,read2,75,paired
BRCA-73316C1E-DDE9-4C39-8AFD-5E8A1090C425-X006-S11-L052-B1-T1-P009,ATAC,human,read1,read2,75,paired
BRCA-73316C1E-DDE9-4C39-8AFD-5E8A1090C425-X006-S11-L053-B1-T2-P010,ATAC,human,read1,read2,75,paired
BRCA-74CCA3AC-8984-4207-AD8C-979E7596A5DC-X005-S02-L003-B1-T1-P014,ATAC,human,read1,read2,75,paired
BRCA-74CCA3AC-8984-4207-AD8C-979E7596A5DC-X005-S02-L004-B1-T2-P015,ATAC,human,read1,read2,75,paired
BRCA-78F79CE9-210D-47BF-B6AB-AA5327778FBE-X010-S03-L053-B1-T1-P021,ATAC,human,read1,read2,75,paired
BRCA-78F79CE9-210D-47BF-B6AB-AA5327778FBE-X010-S03-L054-B1-T2-P019,ATAC,human,read1,read2,75,paired
BRCA-7C6A3AE4-E2EA-42B3-B3F1-81C19E6F2170-X023-S05-L081-B1-T1-P057,ATAC,human,read1,read2,75,paired
BRCA-7C6A3AE4-E2EA-42B3-B3F1-81C19E6F2170-X023-S05-L082-B1-T2-P055,ATAC,human,read1,read2,75,paired
BRCA-7D3BBF34-47F6-41EE-B5BF-6571C18984A8-X020-S03-L005-B1-T1-P053,ATAC,human,read1,read2,75,paired
BRCA-7D3BBF34-47F6-41EE-B5BF-6571C18984A8-X020-S03-L006-B1-T2-P054,ATAC,human,read1,read2,75,paired
BRCA-852B450B-EBCC-4DD0-BB5A-FBF238C7BD89-X019-S02-L050-B1-T1-P041,ATAC,human,read1,read2,75,paired
BRCA-852B450B-EBCC-4DD0-BB5A-FBF238C7BD89-X019-S02-L051-B1-T2-P044,ATAC,human,read1,read2,75,paired
BRCA-85C6EA5B-FA06-416B-9D98-80339B9B03DC-X005-S04-L007-B1-T1-P015,ATAC,human,read1,read2,75,paired
BRCA-86DA5538-752C-4F30-A411-0970F65BD115-X012-S07-L038-B1-T2-P030,ATAC,human,read1,read2,75,paired
BRCA-873F57F9-5F1E-4B78-AE1A-65C9C6B487CE-X022-S07-L059-B1-T1-P050,ATAC,human,read1,read2,75,paired
BRCA-873F57F9-5F1E-4B78-AE1A-65C9C6B487CE-X022-S07-L060-B1-T2-P047,ATAC,human,read1,read2,75,paired
BRCA-8762FC8D-91FC-42B8-B74D-141298970EFC-X001-S03-L005-B1-T1-P004,ATAC,human,read1,read2,75,paired
BRCA-8762FC8D-91FC-42B8-B74D-141298970EFC-X001-S03-L006-B1-T2-P004,ATAC,human,read1,read2,75,paired
BRCA-8D1E6006-85CB-484A-8B5C-30766D90137B-X012-S03-L029-B1-T1-P024,ATAC,human,read1,read2,75,paired
BRCA-8D1E6006-85CB-484A-8B5C-30766D90137B-X012-S03-L030-B1-T2-P026,ATAC,human,read1,read2,75,paired
BRCA-8D51DE4E-9B6A-4C2D-BD11-5F66C2173002-X015-S06-L035-B1-T1-P035,ATAC,human,read1,read2,75,paired
BRCA-8D51DE4E-9B6A-4C2D-BD11-5F66C2173002-X015-S06-L036-B1-T2-P036,ATAC,human,read1,read2,75,paired
